Transaction Date,Description,Category,Type,Amount,Memo
08/04/2024,WHOLEFDS FTG #10709,Groceries,Sale,-27.4,
08/01/2024,76 - DENVILLE OPERATING,Gas,Sale,-27.7,
08/03/2024,GOOGLE *Google One,Vince spending,Sale,-2.11,
08/02/2024,AMZN Mktp US,Shopping,Return,118.68,
07/31/2024,AMAZON MKTPL*RV7B057X0,Shopping,Sale,-42.28,
07/30/2024,TST* BLACK FOREST BROOKLY,Drink,Sale,-24.49,
07/30/2024,ALOHI  * FAXPLUS,Monthly fixed cost,Sale,-8.99,
07/25/2024,UBER   TRIP,Transportation,Sale,-17.64,
07/19/2024,AMAZON MKTPL*RS4YE3SX1,Shopping,Sale,-62.09,
07/19/2024,AMAZON MKTPL*RS89Y69V2,Shopping,Sale,-57.6,
07/18/2024,Prime Video Channels,Entertainment,Sale,-9.99,
07/18/2024,AMAZON MKTPL*RS57L7DZ2,Shopping,Sale,-77.62,
07/17/2024,nuuly.com,Kat spending,Sale,-98.0,
07/17/2024,AMAZON MKTPL*RS5I13KP0,Shopping,Sale,-49.99,
07/16/2024,AMAZON MKTPL*RS65D9580,Shopping,Sale,-15.73,
07/16/2024,AMZN Mktp US*RS4WP6JE2,Shopping,Sale,-118.68,
07/12/2024,AMAZON MKTPL*RY87Z12V0,Shopping,Sale,-110.65,
07/11/2024,AMZN Mktp US*RY25Y2PV1,Shopping,Sale,-44.99,
07/10/2024,AMZN Mktp US*RY68S53D1,Shopping,Sale,-23.58,
07/11/2024,PROSE* PROSE R24711405,Shopping,Sale,-87.01,
07/10/2024,AMAZON MKTPL*RY4HP43F2,Shopping,Sale,-52.22,
07/08/2024,nuuly.com,Kat spending,Return,17.0,
07/09/2024,TARGET        00018499,Shopping,Return,14.4,
07/09/2024,WHOLEFDS FTG #10709,Groceries,Sale,-51.84,
07/07/2024,TST* OTWAY BAKERY,Drink,Sale,-16.5,
07/08/2024,SQ *CIAO  GLORIA,Food & Drink,Sale,-13.06,
07/06/2024,WILKLOW ORCHARDS LLC,Groceries,Sale,-13.0,
07/06/2024,SQ *HUNGRY GHOST COFFEE,Drink,Sale,-12.35,
07/06/2024,SQ *S&amp;SO PRODUCE FARMS LL,Groceries,Sale,-16.0,
07/06/2024,OPTICONTACTS.COM,Health & Wellness,Sale,-360.55,
07/05/2024,SQ *HUNGRY GHOST COFFEE,Drink,Sale,-14.03,
07/06/2024,ELLY'S MARKET,Groceries,Sale,-7.68,
07/04/2024,TEN COLORS NAIL,Kat spending,Sale,-64.5,
07/04/2024,FULTON FOOD,Groceries,Sale,-14.27,
07/04/2024,ROGERS ******8801,Monthly fixed cost,Sale,-37.02,
07/04/2024,SQ *HUNGRY GHOST COFFEE,Drink,Sale,-20.03,
07/04/2024,TARGET        00018499,Shopping,Sale,-150.84,
07/03/2024,WENDY'S RESTAURANT,Food & Drink,Sale,-15.14,
07/03/2024,GOOGLE *Google Storage,Vince spending,Sale,-2.11,
07/01/2024,TJ MAXX #826,Shopping,Sale,-35.7,
07/01/2024,TARGET        00012609,Shopping,Sale,-53.81,
06/30/2024,KFC H495016,Food & Drink,Sale,-10.91,
06/30/2024,ALOHI  * FAXPLUS,Monthly fixed cost,Sale,-8.99,
06/27/2024,WENDY'S #3074,Food & Drink,Sale,-27.69,
06/28/2024,SHOPRITE STROUDSBURG S,Groceries,Sale,-110.92,
06/29/2024,SQ *CAFE DUET,Drink,Sale,-9.34,
06/29/2024,SQ *APPLE RIDGE FARM,Groceries,Sale,-20.7,
06/28/2024,SHOPRITE STROUDSBURG S,Groceries,Sale,-22.24,
06/27/2024,AIR CAN*    0144269104895,Travel,Sale,-26.93,
06/27/2024,AIR CAN*    0144269104898,Travel,Sale,-26.92,
06/27/2024,AIR CAN*    0144269104897,Travel,Sale,-26.92,
06/27/2024,UBER CANADA/UBERTRIP,Transportation,Sale,-5.86,
06/26/2024,COMPASS ACCOUNT,Travel,Sale,-2.31,
06/26/2024,REXALL POST OFFICE #7163,Home,Sale,-1.6,
06/27/2024,UBER CANADA/UBERTRIP,Transportation,Sale,-39.66,
06/26/2024,Small Victory Bakery,Drink,Sale,-12.33,
06/25/2024,CBP BLAINE PAC HWY,Monthly fixed cost,Sale,-56.0,
06/26/2024,HERTZ RENT A CAR,Travel,Sale,-6.02,
06/25/2024,SHELL C01014,Gas,Sale,-25.86,
06/27/2024,SQ *JJ BEAN COFFEE ROASTE,Drink,Sale,-16.86,
06/25/2024,LYFT   *1 RIDE 06-25,Transportation,Sale,-6.37,
06/24/2024,REAL CDN SUPERSTORE #1,Groceries,Sale,-23.87,
06/25/2024,MONTGOMERYS COTTAGE LUNCH,Food & Drink,Sale,-23.08,
06/25/2024,49TH PARALLEL ROASTERS,Food & Drink,Sale,-10.63,
06/25/2024,SPANISH BANKS EAST CONCES,Gifts & Donations,Sale,-12.95,
06/26/2024,SQ *LEE'S DONUTS GRANVILL,Food & Drink,Sale,-7.16,
06/25/2024,EASY PARK-CP80,Travel,Sale,-2.2,
06/24/2024,SQ *SINGLE V COFFEE,Drink,Sale,-9.98,
06/24/2024,TIM HORTONS #3952,Food & Drink,Sale,-6.29,
06/24/2024,HERTZ #0175315,Travel,Sale,-33.57,
06/24/2024,BURNABY PRCS BON,Kids,Sale,-4.68,
06/23/2024,WHITE SPOT 151,Food & Drink,Sale,-49.02,
06/23/2024,AIR CAN*    0144268857640,Travel,Sale,-76.94,
06/23/2024,AIR CAN*    0144268857639,Travel,Sale,-76.94,
06/24/2024,LYFT   *1 RIDE 06-23,Transportation,Sale,-7.18,
06/23/2024,AIR CAN*    0142199083047,Travel,Sale,-0.02,
06/23/2024,AIR CAN*    0142199083046,Travel,Sale,-0.07,
06/23/2024,AIR CAN*    0142199083045,Travel,Sale,-0.07,
06/23/2024,MR.MUSTACHE TEA &amp; DESSERT,Food & Drink,Sale,-5.3,
06/23/2024,ELU WELLNESS,Health & Wellness,Sale,-111.36,
06/22/2024,HERTZ RENT A CAR,Travel,Sale,-5.75,
06/21/2024,DONAIR DELIGHT,Food & Drink,Sale,-12.2,
06/22/2024,Small Victory Bakery,Drink,Sale,-22.46,
06/22/2024,CINEPLEX 8030 WEB QPS,Entertainment,Sale,-27.27,
06/21/2024,SHOPPERS DRUG MART #24,Health & Wellness,Sale,-10.23,
06/21/2024,SHOPPERS DRUG MART #24,Health & Wellness,Sale,-60.47,
06/21/2024,PIZZA PIZZA # 575,Food & Drink,Sale,-3.29,
06/20/2024,REAL CDN SUPERSTORE #1,Groceries,Sale,-11.37,
06/23/2024,SQ *COCO FRESH TEA &amp; JUIC,Food & Drink,Sale,-4.86,
06/23/2024,FAMOUS PLAYER 1408QPS,Entertainment,Sale,-11.61,
06/19/2024,REAL CDN SUPERSTORE #1,Groceries,Sale,-34.06,
06/19/2024,BROOKE RADIOLOGY,Health & Wellness,Sale,-21.89,
06/20/2024,SQ *SINGLE V COFFEE,Drink,Sale,-9.58,
06/19/2024,SQ *SINGLE V COFFEE,Drink,Sale,-8.81,
06/18/2024,SAVE ON FOODS #2225,Groceries,Sale,-7.22,
06/19/2024,BURNABY PRCS BON,Kids,Sale,-4.67,
06/18/2024,DONAIR DELIGHT,Food & Drink,Sale,-12.17,
06/19/2024,SQ *COCO FRESH TEA &amp; JUIC,Food & Drink,Sale,-4.85,
06/19/2024,nuuly.com,Kat spending,Sale,-98.0,
06/17/2024,SAVE ON FOODS #2225,Groceries,Sale,-9.93,
06/18/2024,Prime Video Channels,Entertainment,Sale,-9.99,
06/17/2024,HERTZ #0777609,Travel,Sale,-31.34,
06/14/2024,DONAIR DELIGHT,Food & Drink,Sale,-12.15,
06/16/2024,GREEN BASIL RESTAURANT,Food & Drink,Sale,-24.79,
06/13/2024,REAL CDN SUPERSTORE #1,Groceries,Sale,-29.55,
06/14/2024,PRICESMART FOODS #2281,Groceries,Sale,-6.49,
06/15/2024,UBER CANADA/UBERTRIP,Transportation,Sale,-10.57,
06/14/2024,REAL CDN SUPERSTORE #1,Groceries,Sale,-27.3,
06/13/2024,SQ *SINGLE V COFFEE,Drink,Sale,-8.06,
06/13/2024,YOGEN FRUZ METRO TOWN,Food & Drink,Sale,-4.95,
06/12/2024,CENTRAL PARK GOLF 6,Monthly fixed cost,Sale,-10.69,
06/11/2024,REAL CDN SUPERSTORE #1,Groceries,Sale,-16.54,
06/11/2024,PRICESMART FOODS #2281,Groceries,Sale,-6.47,
06/11/2024,SAVE ON FOODS #2225,Groceries,Sale,-15.05,
06/12/2024,SQ *JJ BEAN COFFEE ROASTE,Drink,Sale,-4.84,
06/10/2024,CENTRAL PARK GOLF 6,Monthly fixed cost,Sale,-10.76,
06/10/2024,SAVE ON FOODS #2225,Groceries,Sale,-27.01,
06/10/2024,DONAIR DELIGHT,Food & Drink,Sale,-16.7,
06/10/2024,HIFIVE CHICKEN,Food & Drink,Sale,-6.14,
06/10/2024,SAVE ON FOODS #2225,Groceries,Sale,-6.92,
06/09/2024,GREEN BASIL RESTAURANT,Food & Drink,Sale,-50.74,
06/10/2024,SQ *SOFT PEAKS ICE CREAM,Food & Drink,Sale,-4.42,
06/05/2024,BRENTWOOD MEDICAL CLINIC,Health & Wellness,Sale,-91.79,
06/07/2024,BURNABY PRCS BVM,Monthly fixed cost,Sale,-3.87,
06/07/2024,BBY VILLAGE MUSEUM/RSTR,Food & Drink,Sale,-10.53,
06/08/2024,UBER CANADA/UBERTRIP,Transportation,Sale,-7.65,
06/06/2024,REAL CDN SUPERSTORE #1,Groceries,Sale,-27.19,
06/07/2024,LYFT   *1 RIDE 06-07,Transportation,Sale,-9.51,
06/07/2024,JANG MO JIB METROTOWN,Food & Drink,Sale,-69.3,
06/08/2024,SQ *JJ BEAN COFFEE ROASTE,Drink,Sale,-3.76,
06/06/2024,HIFIVE CHICKEN,Food & Drink,Sale,-6.91,
06/05/2024,COMPASS ACCOUNT,Travel,Sale,-2.31,
06/05/2024,CENTRAL PARK GOLF 6,Monthly fixed cost,Sale,-2.38,
06/06/2024,NewBalance.ca,Shopping,Sale,-106.91,
06/05/2024,COMPASS ACCOUNT,Travel,Sale,-2.31,
06/05/2024,CENTRAL PARK GOLF 6,Monthly fixed cost,Sale,-10.79,
06/04/2024,SAVE ON FOODS #2225,Groceries,Sale,-36.44,
06/05/2024,Good Taco,Food & Drink,Sale,-14.58,
06/04/2024,CHEERRY'S,Food & Drink,Sale,-6.17,
06/03/2024,REAL CDN SUPERSTORE #1,Groceries,Sale,-4.9,
